,epoch,train_err,train_acc,valid_err,valid_acc
0,0,0.5285632624756544,0.8314102634787559,0.13016434013843536,0.9589743522497324
1,1,0.03417754936381243,0.9910256415605545,0.04411424696445465,0.9717948696552179
2,2,0.004543540836311877,1.0,0.013591264374554157,0.9666666633043534
3,3,0.0022251856105867775,1.0,0.004281568340957165,0.9692307664797857
4,4,0.0019256073428550735,1.0,0.0030388333834707737,0.9692307664797857
5,5,0.0018007386213866993,1.0,0.00254047941416502,0.9692307664797857
6,6,0.0017245124065084383,1.0,0.002268662676215172,0.9717948696552179
7,7,0.001672179947490804,1.0,0.0021044781897217035,0.9717948696552179
8,8,0.0016329899401171133,1.0,0.001988602802157402,0.9717948696552179
9,9,0.0016020348790334537,1.0,0.0019030936527997255,0.9717948696552179
10,10,0.0015765315707540139,1.0,0.0018381575355306268,0.9717948696552179
11,11,0.0015547985065495595,1.0,0.0017861459637060761,0.9717948696552179
12,12,0.0015358293807366864,1.0,0.0017438649665564299,0.9743589728306501
13,13,0.0015189085446763785,1.0,0.0017075259238481522,0.9743589728306501
14,14,0.0015035397693281994,1.0,0.0016757977427914739,0.9743589728306501
15,15,0.001489388948539272,1.0,0.001648136880248785,0.9717948696552179
16,16,0.0014762152830371633,1.0,0.0016235181828960776,0.9717948696552179
17,17,0.0014638432243373246,1.0,0.001601304509676993,0.9717948696552179
18,18,0.0014521226315991954,1.0,0.0015809318283572793,0.9717948696552179
19,19,0.0014409552270080895,1.0,0.001562178018502891,0.9717948696552179
20,20,0.0014302555966423825,1.0,0.0015448478516191244,0.9717948696552179
21,21,0.0014199506607837976,1.0,0.0015286371344700456,0.9717948696552179
22,22,0.0014099908672505989,1.0,0.0015134732238948345,0.9717948696552179
23,23,0.0014003303309436887,1.0,0.001499108737334609,0.9717948696552179
24,24,0.0013909284811234103,1.0,0.0014853826723992825,0.9717948696552179
25,25,0.0013817616214510053,1.0,0.0014723639469593763,0.9717948696552179
26,26,0.001372805712162517,1.0,0.0014598260167986155,0.9717948696552179
27,27,0.001364034807193093,1.0,0.0014477933291345835,0.9717948696552179
28,28,0.0013554384233430028,1.0,0.0014362046495079994,0.9717948696552179
29,29,0.001346998559893109,1.0,0.001425034599378705,0.9717948696552179
