,epoch,train_err,train_acc,valid_err,valid_acc
0,0,1.1714701399207115,0.5416666824370623,0.8620987427540314,0.7487179537614187
1,1,0.5803395360708237,0.7775641158223152,0.30975141605505574,0.8820512783833039
2,2,0.3560472927987576,0.8692307770252228,0.16640525913009277,0.9282051233144907
3,3,0.1866373935714364,0.9358974397182465,0.10860512878459233,0.9615384554251646
4,4,0.10954100494273007,0.9660256430506706,0.07940575441059011,0.9769230714211097
5,5,0.06224359024781734,0.982051283121109,0.0685232699645731,0.9769230714211097
6,6,0.038435780711006375,0.9891025647521019,0.059059483954348624,0.9769230714211097
7,7,0.026751965074799954,0.9929487183690071,0.056441852231868185,0.979487174596542
8,8,0.021272162918467074,0.9961538463830948,0.04654501275254939,0.9846153809474065
9,9,0.02046074593672529,0.9961538463830948,0.03743436943906813,0.9846153809474065
10,10,0.01381777720816899,0.9974358975887299,0.03334315595790171,0.9871794841228387
11,11,0.011280374528723769,0.9980769231915474,0.03199686105243671,0.9871794841228387
12,12,0.012671893165679649,0.9967948719859123,0.030826956409817703,0.9897435872982709
13,13,0.012107870713225565,0.9974358975887299,0.02809321189012665,0.9897435872982709
14,14,0.008377854450372979,0.9987179487943649,0.025648722408685643,0.9948717936491355
15,15,0.021892426765407435,0.9923076927661896,0.019666764767279323,0.9974358968245678
16,16,0.004655136613291688,0.9993589743971825,0.021597720115469433,0.9974358968245678
17,17,0.0034645706313312986,0.9993589743971825,0.020565705506716114,0.9948717936491355
18,18,0.0026660003451979717,0.9993589743971825,0.018684965368802063,0.9948717936491355
19,19,0.0020857030474871864,1.0,0.017472027408448644,0.9974358968245678
20,20,0.0016930124846112448,1.0,0.016782209198050298,0.9974358968245678
21,21,0.001422473064303631,1.0,0.01637351628615318,0.9974358968245678
22,22,0.0012342976799118333,1.0,0.015934468685792617,0.9974358968245678
23,23,0.0010902485955739394,1.0,0.015682768774403926,0.9974358968245678
24,24,0.0009784714209672529,1.0,0.015490597075908087,0.9974358968245678
25,25,0.000889594251930248,1.0,0.015376625964656854,0.9974358968245678
26,26,0.0008171877336280887,1.0,0.015233692107125161,0.9974358968245678
27,27,0.0007568369728687685,1.0,0.015145776631424012,0.9974358968245678
28,28,0.0007054477129713633,1.0,0.015013492415817335,0.9974358968245678
29,29,0.0006614512702071806,1.0,0.014924798453695333,0.9974358968245678
