,epoch,train_err,train_acc,valid_err,valid_acc
0,0,1.5512566834688186,0.35641027260571717,1.4805789696864593,0.38717949638764065
1,1,1.385532835125923,0.5160256631672382,1.2919758160909016,0.5666666795045902
2,2,1.1776530250906945,0.5916666880249977,1.0711207145299666,0.6230769417224786
3,3,0.9601083099842072,0.700641042739153,0.8520319003325242,0.7410256526409051
4,4,0.767022916674614,0.7705128341913223,0.6786599029333164,0.784615389811687
5,5,0.6261520087718964,0.8141025751829147,0.5599011396750425,0.8358974349804413
6,6,0.5288534887135029,0.8416666761040688,0.4782966314217983,0.8589743543893863
7,7,0.4586803711950779,0.8685897514224052,0.4193784216275582,0.876923068975791
8,8,0.40505782328546047,0.8788461610674858,0.3740332688276584,0.8923076819150876
9,9,0.36192683354020116,0.8955128267407417,0.3378979789140897,0.9076922963827084
10,10,0.3261882968246937,0.9096153900027275,0.30737754435111314,0.9153846059090052
11,11,0.29502856768667696,0.9237179532647133,0.28126611044773686,0.9205128122598697
12,12,0.26741924583911897,0.9320512861013412,0.2582670870499733,0.9358974282558148
13,13,0.24303688295185566,0.9442307725548744,0.23866166747533357,0.9384615299029228
14,14,0.22160652242600917,0.9500000029802322,0.22203552035185006,0.9384615299029228
15,15,0.203456549346447,0.9564102590084076,0.20779054669233468,0.9461538394292196
16,16,0.18802213706076146,0.9608974382281303,0.19571400949588189,0.9512820442517599
17,17,0.17473400495946406,0.9666666686534882,0.18502449893798584,0.9564102490743002
18,18,0.16357295401394367,0.9717948734760284,0.17584990232418746,0.9589743522497324
19,19,0.15399324111640453,0.973717950284481,0.1678570126875853,0.9641025586005969
20,20,0.1458906078711152,0.9743589758872986,0.16091691091274604,0.9641025586005969
21,21,0.13871562480926514,0.9756410270929337,0.1547134444117546,0.9641025586005969
22,22,0.13253188226372004,0.9788461551070213,0.14917207451967093,0.9641025586005969
23,23,0.12702626157552005,0.9814102575182915,0.1443211934887446,0.9666666602477049
24,24,0.12203132677823306,0.9814102575182915,0.1401655899408536,0.9692307634231372
25,25,0.11761913988739252,0.9826923087239265,0.13640587834211496,0.9692307634231372
26,26,0.11361244916915894,0.9846153855323792,0.1329446520942908,0.9717948665985694
27,27,0.10980306807905435,0.9846153855323792,0.1298910161623588,0.9743589697740017
28,28,0.10624895971268415,0.9852564111351967,0.1270219345505421,0.9743589697740017
29,29,0.10304167298600078,0.9878205135464668,0.12430549288789432,0.9769230729494339
