,0,1,2,3,4,5,6,AVERAGE
0,44.3757296507,0.0008075139,0.2307692363,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.230769236
1,0.1121927967,5.0675189535,0.451282058,0.702564118,0.5410256535,0.8999999976,0.505128219,0.6200000092
2,0.0016723009,1.1660543234,0.892307685,0.9384615314,0.9102564041,0.8948717912,0.9102564072,0.9092307638
3,85.0052419608,21.9179711601,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
4,0.0668948543,0.6615248008,0.9461538394,0.9333333266,0.9487179457,0.9435897378,0.9410256361,0.9425640971
5,2.5112233712,0.0377501373,0.2307692363,0.2307692352,0.3435897525,0.2307692363,0.6384615524,0.3348718025
6,55.399223767,0.0001623805,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
7,10.6213032164,16.1534633917,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
8,10.5393054021,70.54186161,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
9,0.0028931397,0.0001328762,0.9128205134,0.9410256285,0.92307692,0.8948717927,0.907692304,0.9158974317
10,0.1534357471,0.0060072014,0.9333333236,0.9128205088,0.9512820458,0.9256410232,0.9282051248,0.9302564052
11,55.3334897361,10.6491150145,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
12,0.1428852182,0.0001504676,0.9307692257,0.9205128199,0.92307692,0.9256410201,0.9179487198,0.9235897411
13,0.000451377,23.0794723976,0.8641025638,0.8948717881,0.8897435894,0.8743589704,0.874358975,0.8794871773
14,0.5377387638,0.0004829963,0.8999999991,0.6948718092,0.3512820588,0.9153846097,0.8256410299,0.7374359013
15,0.0001105042,0.0022865175,0.7410256496,0.7538461632,0.7358974509,0.7102564268,0.7435897604,0.7369230902
16,0.0098439727,9.5674714061,0.9179487152,0.9358974328,0.9435897363,0.9153846074,0.92307692,0.9271794823
17,0.0066913073,0.8926480967,0.9256410232,0.9461538364,0.9282051218,0.9384615314,0.9282051218,0.9333333269
18,0.2731208718,0.0073018514,0.9256410217,0.9333333312,0.9512820443,0.8794871737,0.9153846151,0.9210256372
19,0.0003360366,0.0731400704,0.8615384637,0.9051281978,0.8743589765,0.8410256413,0.8487179478,0.8661538454
20,62.2790295769,0.0013413305,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
21,1.1578610466,0.1391727519,0.2307692363,0.841025649,0.3051282125,0.3564102644,0.7256410374,0.4917948799
22,18.6228896977,0.0310191446,0.2307692352,0.2307692354,0.2307692361,0.2307692363,0.2307692355,0.2307692357
23,0.1301411907,0.0099774336,0.9538461459,0.953846149,0.9205128138,0.9307692295,0.9358974298,0.9389743536
24,0.011079236,0.0009815175,0.9358974313,0.9589743538,0.9282051248,0.9358974298,0.9384615345,0.9394871748
25,0.0012130911,0.0003116867,0.8794871767,0.9384615284,0.9179487198,0.8820512799,0.8923076911,0.9020512792
26,13.8204551532,0.0098806345,0.2307692352,0.2307692354,0.2307692365,0.2358974429,0.2307692355,0.2317948771
27,0.0025940713,61.6113306613,0.9128205119,0.9333333327,0.9205128168,0.9128205058,0.9230769215,0.9205128177
28,0.0013923536,0.1021404349,0.8974358913,0.9230769124,0.9282051248,0.8999999991,0.8974358944,0.9092307644
29,0.0089448021,2.5630719367,0.9205128184,0.9410256346,0.946153841,0.9461538394,0.9307692295,0.9369230726
30,0.0001923319,0.0024480301,0.7717948816,0.8692307671,0.8256410284,0.802564109,0.8205128266,0.8179487225
31,0.001854721,0.0005922308,0.8974358929,0.9307692188,0.9282051233,0.9102564026,0.8897435894,0.9112820454
32,0.0059813995,0.009110819,0.9282051218,0.9512820458,0.9256410201,0.9102564057,0.9282051264,0.928717944
33,0.0011502252,40.0626358273,0.9102564057,0.9051282008,0.9102564072,0.8948717912,0.9102564103,0.906153843
34,0.533853622,0.8015345477,0.5307692454,0.6923077122,0.2538461584,0.3205128274,0.8538461526,0.5302564192
35,0.1519637634,0.0285980103,0.9564102521,0.9333333281,0.9282051248,0.9102564087,0.9333333297,0.9323076887
36,2.9082118409,0.001558632,0.2307692352,0.2307692367,0.2307692365,0.2307692363,0.2307692355,0.230769236
37,0.0127790557,0.000782789,0.9282051233,0.9666666602,0.9282051248,0.938461536,0.9410256392,0.9405128167
38,0.0008663126,0.000253868,0.8666666685,0.9128205058,0.9205128168,0.8820512814,0.9205128168,0.9005128179
39,0.0348576898,40.6889395137,0.7153846301,0.5051282176,0.6666666827,0.5230769393,0.4487179594,0.5717948858
40,14.9155860826,22.1032808074,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
41,0.0006065419,0.000294813,0.8948717927,0.9205128138,0.8820512799,0.8769230736,0.8923076911,0.8933333302
42,13.9918294471,0.1956149625,0.2307692352,0.2307692354,0.2307692361,0.2307692363,0.2307692355,0.2307692357
43,10.1470462901,0.0016172731,0.2307692352,0.2307692354,0.2307692354,0.2307692363,0.2307692355,0.2307692356
44,32.6937701701,0.0010135167,0.2307692352,0.2307692354,0.2564102625,0.2307692363,0.2307692355,0.235897441
45,0.0055809637,0.0576900476,0.9307692295,0.9615384539,0.9153846059,0.9205128107,0.9307692219,0.9317948644
46,55.8497320678,38.4497747868,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
47,3.6595393579,28.6146622197,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
48,31.3166214247,24.1545045912,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
49,0.0001336183,67.0914774252,0.4512820614,0.5128205233,0.5538461728,0.5179487293,0.5307692459,0.5133333465
50,0.0006437226,0.0050096026,0.8794871767,0.9230769154,0.9051281993,0.871794871,0.8871794847,0.8933333294
