,epoch,train_err,train_acc,valid_err,valid_acc
0,0,2.0367498099803925,0.3826923225075006,1.195940613746643,0.535897454390159
1,1,1.173296746611595,0.6500000193715095,0.8226652145385742,0.7435897512313647
2,2,0.6854758277535439,0.8378205224871635,0.42746880650520325,0.7820512805229578
3,3,0.4448815956711769,0.9115384668111801,0.5730689167976379,0.779487186517471
4,4,0.23894172571599484,0.9711538478732109,0.18951864540576935,0.8487179478009542
5,5,0.15871712677180766,0.9878205135464668,0.10989879071712494,0.861538460621467
6,6,0.10456217713654041,0.9961538463830948,0.07079973816871643,0.8615384590931427
7,7,0.07628330774605274,0.9980769231915474,0.05634085461497307,0.8692307655627911
8,8,0.06289155455306172,0.9993589743971825,0.047701187431812286,0.8641025607402508
9,9,0.05626737382262945,0.9993589743971825,0.04316948726773262,0.8641025592119266
10,10,0.05194246089085937,0.9993589743971825,0.03980420529842377,0.8641025592119266
11,11,0.0486753486096859,1.0,0.03718746453523636,0.8641025592119266
12,12,0.04600668093189597,1.0,0.03504141792654991,0.8615384560364944
13,13,0.04373443089425564,1.0,0.033311158418655396,0.8641025592119266
14,14,0.041646282002329824,1.0,0.0317799411714077,0.8666666608590347
15,15,0.039899619109928605,1.0,0.030481941998004913,0.8692307625061426
16,16,0.038372223963961005,1.0,0.029337726533412933,0.8692307625061426
17,17,0.03702919851057231,1.0,0.028324514627456665,0.8666666593307104
18,18,0.0358326620887965,1.0,0.027416525408625603,0.8641025592119266
19,19,0.03474694821052253,1.0,0.026597214862704277,0.8589743559177105
20,20,0.03376132450066507,1.0,0.02585243619978428,0.8564102527422782
21,21,0.032859850022941825,1.0,0.025170031934976578,0.853846149566846
22,22,0.03203137405216694,1.0,0.024543706327676773,0.853846149566846
23,23,0.031263648765161633,1.0,0.023965490981936455,0.8512820479197379
24,24,0.03054853561334312,1.0,0.023430626839399338,0.8512820479197379
25,25,0.029879850335419178,1.0,0.022931475192308426,0.853846149566846
26,26,0.029254884598776697,1.0,0.022464124485850334,0.853846149566846
27,27,0.02866651532240212,1.0,0.022025104612112045,0.853846149566846
28,28,0.028112700767815114,1.0,0.021611571311950684,0.853846149566846
29,29,0.027588456077501176,1.0,0.021221835166215897,0.853846149566846
