,epoch,train_err,train_acc,valid_err,valid_acc
0,0,1.5729915648698807,0.45833335295319555,1.377256155014038,0.5205128349554844
1,1,1.2192796036601066,0.701923094689846,1.0316848754882812,0.6641025780103146
2,2,0.9170681595802307,0.8333333432674408,0.7880065441131592,0.7692307776365525
3,3,0.6758152648806572,0.9012820571660995,0.5926381945610046,0.82820513462409
4,4,0.5046603679656982,0.9487179517745972,0.4500860273838043,0.8230769298015497
5,5,0.39709136858582494,0.973717950284481,0.3615608811378479,0.8410256443879544
6,6,0.32761942893266677,0.9878205135464668,0.296416699886322,0.8435897475633866
7,7,0.2820883084088564,0.9955128207802773,0.253897488117218,0.8564102603838994
8,8,0.2509667083621025,0.9974358975887299,0.2281372845172882,0.8692307701477637
9,9,0.22787113524973393,0.9980769231915474,0.20863942801952362,0.8743589764986283
10,10,0.20967335812747478,0.9987179487943649,0.19387954473495483,0.8794871813211685
11,11,0.19492190815508365,0.9987179487943649,0.18143174052238464,0.8794871813211685
12,12,0.1823728647083044,1.0,0.17090469598770142,0.8794871813211685
13,13,0.17142604514956475,1.0,0.16117238998413086,0.8846153846153846
14,14,0.16179830394685268,1.0,0.15245909988880157,0.8846153846153846
15,15,0.15309500619769095,1.0,0.14443999528884888,0.8846153846153846
16,16,0.14527016691863537,1.0,0.13723024725914001,0.8871794877908169
17,17,0.13818727843463421,1.0,0.13055461645126343,0.8846153846153846
18,18,0.1317778965458274,1.0,0.12438901513814926,0.8923076895567087
19,19,0.1259080061689019,1.0,0.11888346076011658,0.8923076895567087
20,20,0.12052495144307614,1.0,0.11371669173240662,0.8948717927321409
21,21,0.11557009369134903,1.0,0.10905849188566208,0.8974358959075732
22,22,0.1109993178397417,1.0,0.10469483584165573,0.8974358959075732
23,23,0.10678828917443753,1.0,0.10069835186004639,0.8974358959075732
24,24,0.10290289334952832,1.0,0.09703628718852997,0.8999999975546812
25,25,0.09929644595831633,1.0,0.09367233514785767,0.8999999975546812
26,26,0.09596160165965557,1.0,0.09056046605110168,0.8999999975546812
27,27,0.09286300409585238,1.0,0.08763839304447174,0.8999999975546812
28,28,0.08998886719346047,1.0,0.08495853841304779,0.9051282023772215
29,29,0.0873143021017313,1.0,0.08249309659004211,0.9051282023772215
