,0,1,2,3
0,95.7333333333,0.3333333333,3.9333333333,0
1,1,79.3333333333,19.6,0.0666666667
2,0.2222222222,1.2,98.5777777778,0
3,2.1609195402,0.4597701149,17.9770114943,79.4022988506
4,99.1,0.3,0.6,0
