,epoch,train_err,train_acc,valid_err,valid_acc
0,0,1.5791024714708328,0.35576924551278355,1.2151130437850952,0.46153846784279895
1,1,0.7774296551942825,0.6871795058250427,0.4349408745765686,0.6538461704666798
2,2,0.31749872379004956,0.900641031563282,0.14204148948192596,0.7435897604013101
3,3,0.09715835256502033,0.9865384623408318,0.04159746691584587,0.7435897611654722
4,4,0.032563493284396824,0.9980769231915474,0.013104056939482689,0.7282051428770407
5,5,0.01476155968848616,1.0,0.0083847064524889,0.7358974478183649
6,6,0.00938735535601154,1.0,0.006204784382134676,0.7384615517579592
7,7,0.006972979742567986,1.0,0.004961744882166386,0.7384615517579592
8,8,0.005628414067905397,1.0,0.0041669136844575405,0.7384615517579592
9,9,0.004757172713289038,1.0,0.003624964039772749,0.7384615517579592
10,10,0.0041506043984554705,1.0,0.003231593407690525,0.7410256549333915
11,11,0.0037050344806630166,1.0,0.002937354613095522,0.7435897581088238
12,12,0.0033650742785539477,1.0,0.0027083412278443575,0.7461538597559317
13,13,0.0030979315633885562,1.0,0.0025253421626985073,0.7487179614030398
14,14,0.0028830027498770506,1.0,0.0023758180905133486,0.7487179614030398
15,15,0.002706456795567647,1.0,0.0022518825717270374,0.7487179614030398
16,16,0.002559295267565176,1.0,0.00214820122346282,0.7487179614030398
17,17,0.002434634824749082,1.0,0.002059841062873602,0.7461538582276075
18,18,0.002327906945720315,1.0,0.0019838684238493443,0.7461538582276075
19,19,0.0022355727152898906,1.0,0.0019176388159394264,0.7461538582276075
20,20,0.002155014680465683,1.0,0.001859535463154316,0.7435897558163373
21,21,0.0020841527904849498,1.0,0.0018082608003169298,0.7435897558163373
22,22,0.0020213827898260205,1.0,0.0017627699999138713,0.7435897558163373
23,23,0.001965471275616437,1.0,0.001722297864034772,0.7435897558163373
24,24,0.0019153422035742551,1.0,0.0016859236638993025,0.7384615525221213
25,25,0.0018701496504945681,1.0,0.0016529322601854801,0.7384615525221213
26,26,0.0018292357970494777,1.0,0.0016230850014835596,0.7384615525221213
27,27,0.001792020836728625,1.0,0.0015958468429744244,0.7384615525221213
28,28,0.0017580436106072739,1.0,0.0015710614388808608,0.7358974508750133
29,29,0.0017269242729526014,1.0,0.001548300962895155,0.7358974508750133
