,epoch,train_err,train_acc,valid_err,valid_acc
0,0,5.924675512313843,0.16346154431812465,2.4906070232391357,0.18461538774844927
1,1,2.191740542650223,0.1955128276720643,2.122213125228882,0.23333333910275728
2,2,2.0694412499666215,0.24487180337309838,2.077143430709839,0.2820512904570653
3,3,2.0234209805727006,0.2717948812991381,2.029576063156128,0.2974359045426051
4,4,1.9729069620370865,0.29038462452590463,1.9780770540237427,0.3128205199654286
5,5,1.9248891592025756,0.308333345502615,1.9318041801452637,0.3025641087920238
6,6,1.88378184735775,0.3307692434638739,1.900026798248291,0.330769236653279
7,7,1.8498502731323243,0.3564102713018656,1.8783977031707764,0.32820513443304944
8,8,1.8192058682441712,0.37884617149829863,1.8556363582611084,0.3641025695281151
9,9,1.7912134498357772,0.3929487355053425,1.8406988382339478,0.374358978217993
10,10,1.7646511852741242,0.4128205306828022,1.8208165168762207,0.39230769872665405
11,11,1.73803653717041,0.4301282219588757,1.8030112981796265,0.4000000069156671
12,12,1.7105750292539597,0.43846155777573587,1.7821180820465088,0.3974359052685591
13,13,1.6831471145153045,0.45256412476301194,1.7604507207870483,0.3974359054595996
14,14,1.656368038058281,0.47115387097001077,1.7357263565063477,0.4076923151046802
15,15,1.6293854624032975,0.4865384869277477,1.7183476686477661,0.4076923154867612
16,16,1.6022400677204132,0.5025641284883022,1.6852985620498657,0.41025641789803136
17,17,1.5750001877546311,0.5185897685587406,1.6592687368392944,0.420512827925193
18,18,1.5476941078901292,0.5365384854376316,1.6325135231018066,0.4179487251318418
19,19,1.520837101340294,0.5538461774587631,1.6027981042861938,0.43076923948067886
20,20,1.4939908266067505,0.5705128453671933,1.5779542922973633,0.42820513592316556
21,21,1.4674505859613418,0.5839743830263615,1.5496584177017212,0.4435897523011917
22,22,1.441279661655426,0.5980769470334053,1.521546721458435,0.44615385471246183
23,23,1.4150373756885528,0.6160256639122963,1.4952415227890015,0.446153856240786
24,24,1.3897667616605758,0.6294872015714645,1.4692015647888184,0.46153847338297427
25,25,1.36434266269207,0.637179508805275,1.4439690113067627,0.46153847261881215
26,26,1.338502761721611,0.6544872000813484,1.42341947555542,0.4717948822638927
27,27,1.3139133214950562,0.6570513024926186,1.3958722352981567,0.4820512934372975
28,28,1.2879234343767165,0.6679487377405167,1.3764652013778687,0.4794871917901895
29,29,1.264856043457985,0.6750000193715096,1.34955894947052,0.4846153973768919
