,epoch,train_err,train_acc,valid_err,valid_acc
0,0,1.525115391612053,0.39615385979413986,1.2610231683804438,0.41538462577722013
1,1,0.7794126771390438,0.711538477987051,0.3321055559775768,0.9179487106127616
2,2,0.5092509027570487,0.8108974471688271,0.2521521223661227,0.9333333296653552
3,3,0.30176992285996673,0.8929487235844136,0.10553078162364471,0.9717948650702452
4,4,0.13896956774406136,0.9474359005689621,0.04959974471384134,0.9846153824757307
5,5,0.1305899890488945,0.9570512846112251,0.09628119183560976,0.9666666602477049
6,6,0.07285237307660282,0.9762820526957512,0.07749362584824364,0.9717948650702452
7,7,0.03766409755917266,0.9871794879436493,0.02793343384594967,0.9897435872982709
8,8,0.023295415929169394,0.991666667163372,0.028076272539925784,0.9897435872982709
9,9,0.016443436912959443,0.9955128207802773,0.034586701160058,0.9897435872982709
10,10,0.012961907018325291,0.9948717951774597,0.01750366196024399,0.9948717936491355
11,11,0.008797911679721437,0.9980769231915474,0.018067290601977266,0.9974358968245678
12,12,0.09822572847624542,0.9807692319154739,0.05115638867331048,0.9871794841228387
13,13,0.02002500309608877,0.9955128207802773,0.025258819551732488,0.9923076904737033
14,14,0.007732637986191548,0.9987179487943649,0.022912220530904446,0.9948717936491355
15,15,0.0042042732369736765,0.9993589743971825,0.0231705293751871,0.9923076904737033
16,16,0.0022513290139613675,1.0,0.021222150613679193,0.9923076904737033
17,17,0.0016198478726437316,1.0,0.020551766746510297,0.9923076904737033
18,18,0.0013061146310064942,1.0,0.020155429480394397,0.9923076904737033
19,19,0.0011236348829697818,1.0,0.020026108658968065,0.9948717936491355
20,20,0.001003955451596994,1.0,0.020019733601470645,0.9948717936491355
21,21,0.0009196190381771885,1.0,0.02006209944225609,0.9948717936491355
22,22,0.0008557881665183231,1.0,0.020131355011238694,0.9948717936491355
23,23,0.0008060267908149398,1.0,0.020221185210781794,0.9948717936491355
24,24,0.0007670014776522294,1.0,0.020312316726164844,0.9923076904737033
25,25,0.0007351248292252422,1.0,0.02041650988245144,0.9923076904737033
26,26,0.0007090179991791956,1.0,0.02052152607192954,0.9923076904737033
27,27,0.0006869176897453145,1.0,0.020633730568732016,0.9923076904737033
28,28,0.0006679997299215756,1.0,0.020742353348162934,0.9923076904737033
29,29,0.000651712938270066,1.0,0.02084513796935192,0.9923076904737033
