,epoch,train_err,train_acc,valid_err,valid_acc
0,0,2.4024673968553545,0.27500001192092893,1.3610187768936157,0.3923077002549783
1,1,1.2349395751953125,0.5083333574235439,1.094944953918457,0.48205129229105437
2,2,0.860421721637249,0.6634615585207939,0.9811615347862244,0.576923090677995
3,3,0.5921090245246887,0.7717948853969574,0.7350502610206604,0.6461538611314236
4,4,0.4591168712824583,0.837179496884346,0.4777469336986542,0.7025641210568256
5,5,0.32939271777868273,0.8858974426984787,0.34293362498283386,0.787179491458795
6,6,0.29748181346803904,0.9121794924139977,0.3020828664302826,0.805128208337686
7,7,0.21517614964395762,0.9467948749661446,0.2972363829612732,0.7666666721686338
8,8,0.19645459540188312,0.9512820541858673,0.3154929280281067,0.7717948838686332
9,9,0.14345012307167054,0.9621794894337654,0.12330233305692673,0.8179487242148473
10,10,0.07005447316914797,0.9929487183690071,0.06966563314199448,0.8410256436237922
11,11,0.052563530020415784,0.9942307695746422,0.04143839702010155,0.8512820517405485
12,12,0.03947680005803704,0.9987179487943649,0.03382204845547676,0.8692307724402502
13,13,0.03458733255974948,1.0,0.03097776509821415,0.8641025630327371
14,14,0.031058422522619367,1.0,0.028485875576734543,0.8666666662081693
15,15,0.028049855679273605,1.0,0.026216330006718636,0.8717948725590339
16,16,0.02566720321774483,1.0,0.0241924487054348,0.8692307693836017
17,17,0.02364152199588716,1.0,0.02236097864806652,0.8666666677364936
18,18,0.021842815075069667,1.0,0.020716466009616852,0.8692307709119259
19,19,0.020229881908744574,1.0,0.019233955070376396,0.8692307709119259
20,20,0.018779204320162536,1.0,0.017901936545968056,0.8692307709119259
21,21,0.01747006527148187,1.0,0.016699455678462982,0.8717948725590339
22,22,0.016286391858011486,1.0,0.015612214803695679,0.8717948725590339
23,23,0.015214140061289072,1.0,0.014630243182182312,0.8717948725590339
24,24,0.01424165377393365,1.0,0.013742992654442787,0.8717948725590339
25,25,0.013356864219531417,1.0,0.012934090569615364,0.874358974206142
26,26,0.012551671033725143,1.0,0.012199066579341888,0.874358974206142
27,27,0.011817231378518044,1.0,0.011528323404490948,0.874358974206142
28,28,0.011147180921398103,1.0,0.010916534811258316,0.874358974206142
29,29,0.010534378187730908,1.0,0.010355845093727112,0.874358974206142
30,30,0.009973637969233095,1.0,0.009843625128269196,0.874358974206142
31,31,0.009459356614388525,1.0,0.009372761473059654,0.874358974206142
32,32,0.008987073507159948,1.0,0.00894038937985897,0.874358974206142
33,33,0.00855231813620776,1.0,0.008539777249097824,0.874358974206142
34,34,0.00815174039453268,1.0,0.008170134387910366,0.874358974206142
35,35,0.007782199722714722,1.0,0.007828887552022934,0.874358974206142
36,36,0.007440722500905395,1.0,0.007512576412409544,0.874358974206142
37,37,0.007124701957218349,1.0,0.007220457307994366,0.874358974206142
38,38,0.006831795023754239,1.0,0.006948946975171566,0.874358974206142
39,39,0.006559978786390275,1.0,0.006697501987218857,0.8717948710307096
40,40,0.006307480437681079,1.0,0.006464502774178982,0.8717948710307096
41,41,0.00607256890507415,1.0,0.006247269921004772,0.8717948710307096
42,42,0.005853818263858557,1.0,0.006045580841600895,0.8717948710307096
43,43,0.005649719166103751,1.0,0.005856766831129789,0.8717948710307096
44,44,0.00545913353562355,1.0,0.00568021135404706,0.8717948710307096
45,45,0.005280924099497497,1.0,0.005515075754374266,0.8717948710307096
46,46,0.005114101164508611,1.0,0.0053610121831297874,0.8717948710307096
47,47,0.004957698087673634,1.0,0.005216707941144705,0.8717948710307096
48,48,0.00481087677180767,1.0,0.00508072879165411,0.8717948710307096
49,49,0.0046729146386496724,1.0,0.0049522980116307735,0.8717948710307096
50,50,0.0045430460711941125,1.0,0.004830661695450544,0.874358974206142
51,51,0.004420607327483594,1.0,0.004715233575552702,0.8769230766174121
52,52,0.004305083781946451,1.0,0.004605972208082676,0.8769230766174121
53,53,0.004196002782555297,1.0,0.004502824507653713,0.8769230766174121
54,54,0.004092874407069758,1.0,0.004405219107866287,0.8769230766174121
55,55,0.003995197964832187,1.0,0.004312509670853615,0.8769230766174121
