,epoch,train_err,train_acc,valid_err,valid_acc
0,0,1.162228563427925,0.5314102750271559,0.6480939388275146,0.7666666744611202
1,1,0.500079358741641,0.8076923191547394,0.4224840696805563,0.8282051262183067
2,2,0.36729749087244273,0.8557692393660545,0.3084999691599455,0.8974358913226005
3,3,0.18217475451529025,0.9455128237605095,0.54995241551063,0.7461538528784727
4,4,0.09854641929268837,0.962820515036583,0.06814093278864256,0.9692307649514614
5,5,0.047075028205290435,0.9858974367380142,0.060624304108130626,0.979487174596542
6,6,0.038598160212859514,0.9858974367380142,0.06241481528820422,0.9769230714211097
7,7,0.03236033084103838,0.990384615957737,0.057347071777957566,0.9743589682456775
8,8,0.02610078182769939,0.991666667163372,0.04546644068203676,0.9820512777719742
9,9,0.021105921419803053,0.9929487183690071,0.07772176650812468,0.9666666602477049
10,10,0.01427351258462295,0.9961538463830948,0.09636358357816696,0.9641025570722727
11,11,0.012266772749717348,0.9942307695746422,0.07227908649843019,0.9769230729494339
12,12,0.008327989649842493,0.9987179487943649,0.018997657345607877,0.9897435872982709
13,13,0.0066505385519121775,0.9987179487943649,0.014424387416324746,0.9948717936491355
14,14,0.0034840527921915056,1.0,0.01180533421649717,0.9974358968245678
15,15,0.0026703059498686343,1.0,0.010340960378809355,0.9974358968245678
16,16,0.002189980032562744,1.0,0.008938202525500972,0.9974358968245678
17,17,0.001854382969031576,1.0,0.007902001848262258,0.9974358968245678
18,18,0.0016141722873726394,1.0,0.007229465842754461,0.9974358968245678
19,19,0.0014358165899466258,1.0,0.00670558667573063,0.9974358968245678
20,20,0.001282050589361461,1.0,0.00629561994850146,0.9974358968245678
21,21,0.0011636392744549084,1.0,0.005978004966238633,0.9974358968245678
22,22,0.001063893375248881,1.0,0.0056922044381141085,1.0
23,23,0.0009782524684851523,1.0,0.005439726430967522,1.0
24,24,0.0009045950428117067,1.0,0.0052187333091681535,1.0
25,25,0.0008408593137573916,1.0,0.005014482821048333,1.0
26,26,0.0007868735134252347,1.0,0.0048447628606272004,1.0
27,27,0.0007399460300803185,1.0,0.004692511633038521,1.0
28,28,0.0006993417293415405,1.0,0.004550676708533548,1.0
29,29,0.0006630198964558076,1.0,0.004429304555509215,1.0
