,0,1,2,3,4,5,6,
44,32.6937701701,0.0010135167,0.1025641045,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
45,0.0055809637,0.0576900476,0.6256410418,0.625641048,0.6282051458,0.6589743703,0.6384615539,0.635384632
46,55.8497320678,38.4497747868,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
47,3.6595393579,28.6146622197,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
48,31.3166214247,24.1545045912,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
49,0.0001336183,67.0914774252,0.2205128249,0.2256410313,0.2410256461,0.2256410307,0.2410256461,0.2307692358
50,0.0006437226,0.0050096026,0.5230769339,0.5358974513,0.5282051433,0.5333333436,0.5564102691,0.5353846282
51,0.0480294363,2.0917346562,0.7512820676,0.81025642,0.7410256511,0.8025641075,0.8153846203,0.7841025733
52,0.0009456652,0.0213388866,0.56153848,0.5615384793,0.5564102706,0.56410258,0.55128207,0.558974376
53,0.0006593005,0.0003597117,0.5256410409,0.5307692438,0.5487179645,0.584615397,0.5435897588,0.546666681
54,0.0003599455,81.5194523793,0.2743589794,0.2717948774,0.3333333394,0.2794871858,0.2692307757,0.2856410315
55,0.0002208228,10.1891585019,0.3974359047,0.3820512931,0.4461538549,0.4564102701,0.4153846258,0.4194871897
56,0.0002183776,0.0198705366,0.4358974462,0.4743589891,0.4384615477,0.4230769372,0.4846153951,0.4512820631
57,5.1551129478,0.000687523,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
58,6.8589806817,0.0001139866,0.1025641043,0.1025641041,0.1282051303,0.1025641041,0.1025641047,0.1076923095
59,0.0100092223,0.0018347411,0.6615384748,0.6923077045,0.6923077137,0.6564102694,0.7410256473,0.6887179619
60,0.0038762286,2.1575458675,0.6051282241,0.6153846295,0.5974359138,0.6076923257,0.6102564258,0.6071795038
61,0.003406195,46.5620945334,0.5615384751,0.5282051403,0.5076923225,0.5384615509,0.5743589909,0.5420512959
62,15.3467789869,0.116695617,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
63,21.4307348202,0.000373954,0.1025641045,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
64,0.0339824657,0.0029098005,0.8076923169,0.8230769275,0.8230769267,0.8256410269,0.8615384621,0.828205132
65,3.4688247093,0.0863879464,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
66,0.0213302783,6.2825682116,0.6923077084,0.7256410378,0.6692307836,0.7128205265,0.7615384704,0.7123077053
67,0.3091673052,15.2336341203,0.1025641043,0.1025641041,0.1025641049,0.1025641041,0.1025641047,0.1025641044
68,10.915168697,0.1060518378,0.1025641043,0.1282051305,0.1025641047,0.1025641041,0.1025641047,0.1076923097
69,0.001207552,0.93602948,0.6025641144,0.6025641188,0.574358989,0.5846153987,0.6205128418,0.5969230925
70,0.9791712524,0.0171422066,0.2948718027,0.4538461661,0.2538461584,0.5025641198,0.3256410337,0.3661538561
71,1.3641138286,90.7563593126,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
72,0.1820023112,0.0218231185,0.7641025782,0.8794871767,0.843589743,0.8846153816,0.8641025607,0.847179488
73,17.4927024332,18.2436033405,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
74,0.0009220024,21.2171288751,0.487179499,0.5025641122,0.4974359087,0.5179487318,0.5666666856,0.5143589875
75,0.0008061053,2.6608151117,0.4974359113,0.5897436073,0.5717948878,0.5487179588,0.5384615551,0.5492307841
76,0.5177373037,1.4679128041,0.258974363,0.1282051305,0.1282051307,0.2871794941,0.3256410337,0.2256410304
77,0.0047032566,1.5980509369,0.6102564327,0.6615384771,0.6512820637,0.6358974488,0.6692307847,0.6456410414
78,0.0001738999,0.000174488,0.4307692425,0.4538461648,0.464102568,0.4205128331,0.4487179577,0.4435897532
79,0.3155845715,0.0001369353,0.7025641157,0.5153846263,0.4435897559,0.7820512882,0.5871795034,0.6061538579
80,0.0053337298,1.0143967854,0.5974359161,0.6538461722,0.6641025803,0.6205128353,0.7076923198,0.6487179647
81,4.1906258474,0.0182523514,0.1025641043,0.1025641041,0.1025641047,0.1282051307,0.1025641047,0.1076923097
82,0.7337505296,1.5574578744,0.1282051305,0.1358974387,0.1615384645,0.1564102591,0.1282051313,0.1420512848
83,1.0799035129,37.133315097,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
84,0.0006205815,0.0015677223,0.5076923198,0.5128205258,0.5179487314,0.5384615516,0.5692307804,0.5292307818
85,0.5145128575,45.630867812,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
86,17.8602472251,0.0828589847,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
87,0.0067871268,3.0052724038,0.6102564243,0.7230769396,0.6333333514,0.6589743764,0.6923077053,0.6635897594
88,0.0012638068,0.9647648815,0.5333333428,0.5794871927,0.5743589944,0.5564102741,0.6128205313,0.5712820671
89,12.1646155884,11.5969930529,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
90,9.9575102939,7.1892651931,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
91,0.0003493988,1.6279388509,0.4769230894,0.4846153934,0.5051282146,0.4666666757,0.4897436007,0.4846153948
92,0.8411544707,1.1480976208,0.1282051305,0.1846153881,0.1282051303,0.1897435935,0.3282051356,0.1917948756
93,4.2725329719,35.861959441,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
94,36.5215671845,3.425271811,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
95,5.7750496,0.0050985787,0.1025641043,0.1025641041,0.1282051303,0.1025641041,0.1025641047,0.1076923095
96,0.0867214527,0.0192679523,0.8282051377,0.8871794863,0.8717948749,0.8461538416,0.8897435894,0.864615386
97,17.5329618895,0.0264438815,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
98,28.0801193318,3.1976176199,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
99,8.9014893159,0.0034168723,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1051282073,0.1030769249
