,0,1,2,3,4,5,6,
0,44.3757296507,0.0008075139,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
1,0.1121927967,5.0675189535,0.5076923225,0.330769237,0.7102564222,0.5897436062,0.7076923236,0.5692307823
2,0.0016723009,1.1660543234,0.5641025794,0.5564102737,0.5871794999,0.5743589908,0.6205128408,0.5805128369
3,85.0052419608,21.9179711601,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
4,0.0668948543,0.6615248008,0.8230769267,0.8564102581,0.8384615473,0.8564102527,0.8538461496,0.8456410269
5,2.5112233712,0.0377501373,0.2487179559,0.1025641041,0.3589743672,0.2948718002,0.1974359019,0.2405128259
6,55.399223767,0.0001623805,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
7,10.6213032164,16.1534633917,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
8,10.5393054021,70.54186161,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
9,0.0028931397,0.0001328762,0.5871795049,0.6205128343,0.6230769455,0.6179487291,0.5974359142,0.6092307856
10,0.1534357471,0.0060072014,0.8410256474,0.907692301,0.8641025669,0.7641025705,0.8384615412,0.8430769254
11,55.3334897361,10.6491150145,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
12,0.1428852182,0.0001504676,0.8384615397,0.8999999991,0.8897435879,0.8051282083,0.8948717866,0.8656410243
13,0.000451377,23.0794723976,0.4205128314,0.4230769328,0.4512820588,0.4333333451,0.4333333398,0.4323077016
14,0.5377387638,0.0004829963,0.6333333483,0.405128215,0.3769230852,0.5153846298,0.6000000177,0.5061538592
15,0.0001105042,0.0022865175,0.4000000109,0.3487179572,0.3743589832,0.3846153923,0.3948718025,0.3805128292
16,0.0098439727,9.5674714061,0.6410256563,0.671794886,0.5769230953,0.6307692428,0.7076923251,0.6456410411
17,0.0066913073,0.8926480967,0.6153846299,0.6717948887,0.6333333537,0.6435897648,0.6717948845,0.6471795043
18,0.2731208718,0.0073018514,0.7564102671,0.7743589802,0.6564102692,0.7051282166,0.8615384606,0.7507692387
19,0.0003360366,0.0731400704,0.4948718097,0.4948718047,0.5128205254,0.4589743693,0.5076923202,0.4938461659
20,62.2790295769,0.0013413305,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
21,1.1578610466,0.1391727519,0.2307692357,0.1153846175,0.2307692352,0.264102569,0.2487179534,0.2179487222
22,18.6228896977,0.0310191446,0.1025641045,0.1025641041,0.1025641047,0.1025641047,0.1025641047,0.1025641045
23,0.1301411907,0.0099774336,0.8487179554,0.8974358913,0.8487179478,0.8307692355,0.9179487137,0.8687179487
24,0.011079236,0.0009815175,0.6589743747,0.7358974509,0.6897436075,0.7076923205,0.7358974501,0.7056410407
