,epoch,train_err,train_acc,valid_err,valid_acc
0,0,1.568682211637497,0.36987180858850477,1.0010864734649658,0.5153846274583768
1,1,0.6856940798461437,0.728205144405365,0.3500267565250397,0.6025641170831827
2,2,0.189589739497751,0.9551282078027725,0.05536491796374321,0.6487179643068558
3,3,0.03599728005938232,0.9993589743971825,0.023066647350788116,0.6487179627785316
4,4,0.01320061502046883,1.0,0.009651062078773975,0.6461538626597478
5,5,0.008227287663612515,1.0,0.007045416161417961,0.6512820697747744
6,6,0.006108676840085536,1.0,0.005581086501479149,0.6487179665993421
7,7,0.0049353585462085904,1.0,0.004650769755244255,0.6487179665993421
8,8,0.004185843002051115,1.0,0.004010573495179415,0.648717965071018
9,9,0.0036663282779045405,1.0,0.0035520903766155243,0.6512820682464502
10,10,0.0032855262572411446,1.0,0.0032062847167253494,0.6512820682464502
11,11,0.002995251171523705,1.0,0.0029395855963230133,0.6512820682464502
12,12,0.0027667455957271158,1.0,0.00272688502445817,0.6512820682464502
13,13,0.002582602354232222,1.0,0.0025532227009534836,0.6512820682464502
14,14,0.0024311475921422244,1.0,0.002409835811704397,0.6538461698935583
15,15,0.002304784083389677,1.0,0.002289343159645796,0.6538461698935583
16,16,0.002197659880039282,1.0,0.0021867791656404734,0.6538461698935583
17,17,0.0021058084414107723,1.0,0.0020980217959731817,0.6564102730689905
18,18,0.0020261594938347114,1.0,0.0020206854678690434,0.6564102730689905
19,19,0.001956556408549659,1.0,0.001953095430508256,0.6589743747160985
20,20,0.0018952837970573455,1.0,0.0018934939289465547,0.6589743747160985
21,21,0.0018409420328680426,1.0,0.001840441022068262,0.6589743747160985
22,22,0.001792429111083038,1.0,0.0017930013127624989,0.6589743747160985
23,23,0.0017488749552285298,1.0,0.0017502622213214636,0.6589743747160985
24,24,0.00170962261618115,1.0,0.0017116779927164316,0.6589743747160985
25,25,0.0016740096150897443,1.0,0.0016765331383794546,0.6589743747160985
26,26,0.0016416082624346017,1.0,0.0016444404609501362,0.6589743747160985
27,27,0.001611998348380439,1.0,0.0016150146257132292,0.6589743747160985
28,28,0.0015848376031499356,1.0,0.0015880491118878126,0.6589743747160985
29,29,0.0015598466852679849,1.0,0.0015631573041900992,0.6589743747160985
